,BioProject,BioSample,Body_Site,Replicate,Title,Media,Condition,Growth Phase,Isolate,Growth Rate,OD-600,Genetic Changes; Name,NOTES,Reference,InsertDev,InsertSize,LibraryLayout,LibrarySelection,LibrarySource,LibraryStrategy,Manual Strain,Unnamed: 23,Model,Platform,Project,ProjectID,ReleaseDate,Run,SRAStudy,Sample,ScientificName,Submission,TaxID,class_tax_id,species,species_tax_id,strain_tax_id,R1,R2
11,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2501,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample3_S3_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample3_S3_R2_001.fastq.gz
12,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2502,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample4_S4_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample4_S4_R2_001.fastq.gz
13,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2503,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample5_S11_R2_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample5_S11_R2_001.fastq.gz
14,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2504,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample6_S12_R2_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample6_S12_R2_001.fastq.gz
15,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2505,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample7_S13_R2_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample7_S13_R2_001.fastq.gz
16,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2506,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample8_S14_R2_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-21-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample8_S14_R2_001.fastq.gz
SRX8986112,PRJNA658638,SAMN15880008,,1,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,Azithromycin 0 ug/mL 1,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2507,ILLUMINA,,,,SRR12494584,SRP278444,,,,,,,,,,
SRX8986111,PRJNA658638,SAMN15880009æ,,2,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ PreCulture 2,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2508,ILLUMINA,,,,SRR12494585,SRP278444,,,,,,,,,,
SRX8986110,PRJNA658638,SAMN15880009,,1,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ PreCulture 1,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2509,ILLUMINA,,,,SRR12494586,SRP278444,,,,,,,,,,
SRX8986109,PRJNA658638,SAMN15880010,,2,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 40 ug/mL 2,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2510,ILLUMINA,,,,SRR12494587,SRP278444,,,,,,,,,,
SRX8986108,PRJNA658638,SAMN15880011,,2,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 28 ug/mL 2,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2511,ILLUMINA,,,,SRR12494588,SRP278444,,,,,,,,,,
SRX8986107,PRJNA658638,SAMN15880007,,2,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 0.3 ug/mL 2,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2512,ILLUMINA,,,,SRR12494589,SRP278444,,,,,,,,,,
SRX8986106,PRJNA658638,SAMN15880008,,2,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 0 ug/mL 2,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2513,ILLUMINA,,,,SRR12494590,SRP278444,,,,,,,,,,
SRX8986105,PRJNA658638,SAMN15880010,,1,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 40 ug/mL 1,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2514,ILLUMINA,,,,SRR12494591,SRP278444,,,,,,,,,,
SRX8986104,PRJNA658638,SAMN15880011æ,,1,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 28 ug/mL 1,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2515,ILLUMINA,,,,SRR12494592,SRP278444,,,,,,,,,,
SRX8986103,PRJNA658638,SAMN15880007,,1,Response of Acinetobacter baumannii AB5075 to azirthomycin,CA-MHB,w/ Azithromycin 0.3 ug/mL 1,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2516,ILLUMINA,,,,SRR12494593,SRP278444,,,,,,,,,,
